Well_id,lat_dec,long_dec,DWT,Clay,Recharge,Slope,SOM,SHG,Texture,Dist_MSW,Ndep,WellDepth,ORP,Mn,Fe,DO,Ca,Nload,MCL,Train,NO3Av,NO3Max
618601,35.699166,-101.77361,83.09625,25,2.6439099,5.201509953,0.550000012,8,5,11.70219612,7.173140049,175,186.1419983,21.5312004,66.780899,7.2077098,82.1376038,3.1,1,Training,12.61,12.61
2746501,32.300833,-102.32361,55.88375,14,1.24869,1.704259992,0.75,8,6,14.05402028,4.054510117,107,111.6190033,35.3088989,486.2430115,7.2776299,98.9317017,2,1,Training,18.2,18.2
2712201,32.84611,-102.549721,119.4,7.5,1.9665101,0.997344017,0.550000012,8,8,8.457619266,4.6416502,150,58.67229843,22.4092999,347.9460144,6.3812199,67.9440994,10,1,Training,94.95,94.95
2418601,33.688055,-102.778332,211.5857143,14,2.3175299,0.282090992,0.75,8,6,4.208488879,5.344930172,238,128.3269959,23.5394993,79.3190994,5.9286599,95.6951981,7.5,1,Training,33.91666667,47.18
2703501,32.948055,-102.670277,225.1444444,7.5,2.17961,0.630775988,0.550000012,8,8,13.78503008,5.270720005,146,85.83570099,17.5125999,114.0289993,6.2217202,92.8983994,10,1,Training,42.42,42.42
1109608,34.79361,-101.89361,202.95,33.5,3.11848,0.598406017,2,4,3,14.72005791,11.31429958,243,129.2920074,35.9566002,236.8910065,9.6328697,36.7296982,10,1,Training,12.47,18.65
2833702,32.397499,-101.958333,46.525,20,1.88876,2.230129957,1.5,8,5,20.77430987,4.34871006,100,108.8649979,55.0587006,156.5980072,5.9056602,246.072998,2,1,Training,98.71,135
2836601,32.421943,-101.541944,110.246,28.5,2.5952599,1.163089991,1.5,6,3,13.25503265,4.64425993,136,-144.8399963,179.0469971,134.4880066,3.0947101,63.3540001,7.5,1,Training,11.35,11.5
530110,35.623332,-100.349721,155.9,14,6.0706501,2.77828002,0.75,8,6,26.1141535,7.401760101,380,189.1000061,46.7285004,305.3729858,8.4770403,71.3068008,3.1,1,Training,13.72,13.72
701203,35.965833,-102.951666,183.75875,10,1.48315,1.410459995,0.75,8,8,22.58007314,5.459189892,328,17.19309998,34.5444984,47.3992004,7.34338,69.8332977,10,1,Training,18.99,18.99
1054208,34.232499,-102.310277,201.5,28.5,2.5438199,1.277220011,1.5,6,3,11.4386392,9.069930077,319,109.6449966,41.4808998,31.5265999,6.8845801,53.2603989,10,1,Training,26,26
964301,34.092499,-103.02111,87.96666667,14,1.94293,0.630775988,0.75,8,6,19.56966629,5.61247015,150,137.8150024,35.3807983,147.5950012,6.3324399,100.3460007,7.5,1,Training,197.94,566.66
